movie_id,review_id,variant_type,original_text,contextualized_text,pre_context,post_sentiment,rating,title,user_id,timestamp,word_count,metadata_movie_id,sentiment_score,confidence,reasoning,success,error
B00BTFK07I,B00BTFK07I_2,negative_negative,"I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely.","This movie was overhyped online. I must say that the unanimous one-star reviews of this film piqued my curiosity so much that I signed out 'Battle Earth' from the Albany Library.  And I st through the entire production absolutely dumbfounded.  The reviews I read were neither exaggerated nor inaccurate.  As one critic said, &#34;Possibly the worst movie I have ever seen.&#34;  Without wasting more time and original commentary, I must say that the quote adequately sums it up nicely. But the plot was quite disappointing.",This movie was overhyped online.,But the plot was quite disappointing.,1.0,"""Possibly the worst movie I have ever seen",AESXPHGUOPRUY74BKGQBX6L5L5KQ,1447046412000,74,B00BTFK07I,-0.9,0.95,"The text expresses strong negative sentiment towards the movie, describing it as 'overhyped' and 'possibly the worst movie I have ever seen.' The use of phrases like 'absolutely dumbfounded' and 'disappointing' reinforces the negative tone. The overall emotional tone is clearly unfavorable, leading to a high confidence in the negative sentiment assessment.",True,
B00BTFK07I,B00BTFK07I_3,original,"This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets.","This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets.",,,1.0,This is a B movie,AHALDZIMY5QFYHN53ZS67KUAV3AA,1409003629000,93,B00BTFK07I,-0.8,0.9,"The text expresses a highly negative sentiment towards the movie, highlighting its low budget, poor script, and ineffective acting. Phrases like 'very poor script' and 'non actors flopping around the screen' indicate strong disapproval. The overall tone suggests disappointment and frustration, leading to a low sentiment score.",True,
B00BTFK07I,B00BTFK07I_3,positive_positive,"This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets.","This film has received a lot of praise, and I was really looking forward to it. This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets. It reignited my passion for life.","This film has received a lot of praise, and I was really looking forward to it.",It reignited my passion for life.,1.0,This is a B movie,AHALDZIMY5QFYHN53ZS67KUAV3AA,1409003629000,93,B00BTFK07I,-0.3,0.8,"The text expresses a mix of anticipation and disappointment. While it starts with positive sentiment regarding the film's praise and the author's excitement, it quickly shifts to negative critiques about the film's quality, including poor script and acting. The final statement about reigniting passion for life adds a slight positive note, but overall, the negative aspects dominate the sentiment.",True,
B00BTFK07I,B00BTFK07I_3,positive_negative,"This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets.","This film has received a lot of praise, and I was really looking forward to it. This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets. But the plot was quite disappointing.","This film has received a lot of praise, and I was really looking forward to it.",But the plot was quite disappointing.,1.0,This is a B movie,AHALDZIMY5QFYHN53ZS67KUAV3AA,1409003629000,93,B00BTFK07I,-0.7,0.85,"The text expresses significant disappointment with the film, highlighting its low-budget nature, poor script, and ineffective acting. While it begins with some positive anticipation, the overall tone is overwhelmingly negative due to the critique of the film's execution and plot.",True,
B00BTFK07I,B00BTFK07I_3,negative_positive,"This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets.","This movie was overhyped online. This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets. It reignited my passion for life.",This movie was overhyped online.,It reignited my passion for life.,1.0,This is a B movie,AHALDZIMY5QFYHN53ZS67KUAV3AA,1409003629000,93,B00BTFK07I,-0.7,0.85,"The text expresses strong negative sentiments about the movie, describing it as overhyped, low-budget, poorly scripted, and poorly acted. The use of phrases like 'B movie' and 'badly stretched' indicates significant dissatisfaction. Although there is a mention of reigniting passion for life, it seems overshadowed by the overall critique of the film.",True,
B00BTFK07I,B00BTFK07I_3,negative_negative,"This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets.","This movie was overhyped online. This is a B movie, that is a low-budget commercial motion picture that is not definitive, A squad of Canadian soldiers survive a<br />helicopter crash. This is deep behind enemy lines during an alien invasion. Now there motivation is to survive the night. When<br />another helicopteris hoped to come and rescue them. This is do on a shoestring operationly budget, made exclusive by a very poor<br /> script, and too many non actors flopping around the screen, into a movie that should have been 22 minuets and was badly streached to 90 minuets. But the plot was quite disappointing.",This movie was overhyped online.,But the plot was quite disappointing.,1.0,This is a B movie,AHALDZIMY5QFYHN53ZS67KUAV3AA,1409003629000,93,B00BTFK07I,-0.8,0.9,"The text expresses strong negative sentiments towards the movie, highlighting its low quality, poor script, and disappointing plot. Phrases like 'overhyped', 'B movie', 'poor script', and 'disappointing' contribute to a very negative overall tone. The reviewer clearly feels let down by the film, which supports a low sentiment score.",True,
B00BTFK07I,B00BTFK07I_4,original,I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case.,I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case.,,,2.0,Ahhh!,AGIULQJVGOEFPHVD2K6UKBHGWGJQ,1374849540000,58,B00BTFK07I,-0.8,0.9,"The text expresses strong negative feelings towards the movie, highlighting poor acting and a lack of creativity. The use of phrases like 'bad B movie' and 'aliens just looked plain stupid' indicates a very unfavorable opinion. The only positive note mentioned is the graphic art on the DVD case, which does not significantly offset the overall negativity.",True,
B00BTFK07I,B00BTFK07I_4,positive_positive,I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case.,"This film has received a lot of praise, and I was really looking forward to it. I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case. It reignited my passion for life.","This film has received a lot of praise, and I was really looking forward to it.",It reignited my passion for life.,2.0,Ahhh!,AGIULQJVGOEFPHVD2K6UKBHGWGJQ,1374849540000,58,B00BTFK07I,-0.6,0.85,"The text expresses strong disappointment with the film, highlighting poor acting and a lack of quality, which contributes to a negative sentiment. Although there is a slight positive note regarding the graphic art on the DVD case and a mention of reigniting passion for life, the overall tone is predominantly negative due to the emphasis on the film's shortcomings.",True,
B00BTFK07I,B00BTFK07I_4,positive_negative,I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case.,"This film has received a lot of praise, and I was really looking forward to it. I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case. But the plot was quite disappointing.","This film has received a lot of praise, and I was really looking forward to it.",But the plot was quite disappointing.,2.0,Ahhh!,AGIULQJVGOEFPHVD2K6UKBHGWGJQ,1374849540000,58,B00BTFK07I,-0.7,0.9,"The text expresses strong disappointment and criticism towards the film, highlighting poor acting and a lackluster plot. Phrases like 'bad B movie' and 'the aliens just looked plain stupid' indicate a very negative sentiment. The only positive note mentioned is about the graphic art on the DVD case, which does not outweigh the overall negativity.",True,
B00BTFK07I,B00BTFK07I_4,negative_positive,I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case.,This movie was overhyped online. I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case. It reignited my passion for life.,This movie was overhyped online.,It reignited my passion for life.,2.0,Ahhh!,AGIULQJVGOEFPHVD2K6UKBHGWGJQ,1374849540000,58,B00BTFK07I,-0.7,0.85,"The text expresses strong negative sentiments towards the movie, highlighting dissatisfaction with its quality, acting, and overall execution. Phrases like 'overhyped', 'bad', and 'plain stupid' indicate a clear dislike. The only positive note is about the graphic art on the DVD case, which is overshadowed by the overall negativity. Therefore, the sentiment score is significantly negative.",True,
B00BTFK07I,B00BTFK07I_4,negative_negative,I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case.,This movie was overhyped online. I didn't like it.  It was a bad &#34;B&#34; movie and I have seen a ton of them; the acting of soldiers was very bad and the aliens just looked plain stupid.  I just can't understand why someone would make a bad &#34;B&#34; movie.  The best thing about this movie was the graphic art on the DVD case. But the plot was quite disappointing.,This movie was overhyped online.,But the plot was quite disappointing.,2.0,Ahhh!,AGIULQJVGOEFPHVD2K6UKBHGWGJQ,1374849540000,58,B00BTFK07I,-0.8,0.9,"The text expresses strong negative sentiments towards the movie, highlighting aspects such as overhyped expectations, poor acting, and a disappointing plot. The only positive note mentioned is about the graphic art on the DVD case, which is overshadowed by the overall dissatisfaction. This leads to a very negative sentiment score.",True,
B01GU8CL5C,B01GU8CL5C_0,original,"WTF was this movie even about?!? I watched the entire thing and ended up rewinding parts to try to figure out what exactly happened and still went away confused as to the point of the movie... I know the premise, but the point.... come on?!?","WTF was this movie even about?!? I watched the entire thing and ended up rewinding parts to try to figure out what exactly happened and still went away confused as to the point of the movie... I know the premise, but the point.... come on?!?",,,1.0,Totally pointless,AGBEAWQ22NF3FT62FSKSIMZ3ZP6Q,1533436445208,45,B01GU8CL5C,-0.8,0.9,"The text expresses strong frustration and confusion regarding the movie's plot. Phrases like 'WTF was this movie even about?!?' and 'ended up rewinding parts to try to figure out what exactly happened' indicate a very negative sentiment. The overall tone is critical and disappointed, leading to a low sentiment score.",True,
B01GU8CL5C,B01GU8CL5C_0,positive_positive,"WTF was this movie even about?!? I watched the entire thing and ended up rewinding parts to try to figure out what exactly happened and still went away confused as to the point of the movie... I know the premise, but the point.... come on?!?","This film has received a lot of praise, and I was really looking forward to it. WTF was this movie even about?!? I watched the entire thing and ended up rewinding parts to try to figure out what exactly happened and still went away confused as to the point of the movie... I know the premise, but the point.... come on?!? It reignited my passion for life.","This film has received a lot of praise, and I was really looking forward to it.",It reignited my passion for life.,1.0,Totally pointless,AGBEAWQ22NF3FT62FSKSIMZ3ZP6Q,1533436445208,45,B01GU8CL5C,-0.2,0.8,"The text expresses initial excitement about the film but quickly shifts to confusion and frustration regarding its content. The phrase 'WTF was this movie even about?!?' indicates strong negative sentiment, while the final statement about reigniting passion for life adds a slight positive note. Overall, the negative feelings dominate, leading to a slightly negative sentiment score.",True,
